Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
106299185623786,"Vivek Seth ""मोनू""",Ajay Kumar Shukla,≤100,4
168444276938817,GSP Crop Science Private Limited,These ads ran without a disclaimer,≤100,1
102762421068540,Dr Rohit Shivram Borkar - आपला हक्काचा आरोग्यदूत,These ads ran without a disclaimer,≤100,1
565714670143123,Ashok Saini,Engitech Media,≤100,1
213947398791863,Dhananjai Singh Khimsar,Dhananjai Singh,≤100,1
104962875476962,Shashank rajesh khare,Shashankbhai Rajeshbhai Khare,≤100,1
238476340024097,Rajni Kant,Amrish Kant Srivastava,≤100,1
109326971704461,Skyview Assistance Services.,These ads ran without a disclaimer,≤100,1
641985525831714,Vipin Wankhede,These ads ran without a disclaimer,≤100,1
246571835412965,Rupesh Sharma,Anshu Garg,≤100,1
101670134611350,Dhaularam Yadav BJP,Dhaularam Yadav BJP,≤100,1
223069791595001,Rishi Mishra,Subhasini Singh,≤100,5
536637356526499,Sonu kanaujia,These ads ran without a disclaimer,≤100,1
104629694666340,Pooja Yadav,Saurabh Kumar Pandey,≤100,1
118552134469003,Raju Batham Official,Raju Batham,≤100,3
127977136122637,Ashok Kumar Atri,These ads ran without a disclaimer,≤100,2
1651727365046605,Pukh Raj Parashar,Pukh Raj Parashar,≤100,2
1009889015815725,Virender Singh,Sumit Ahuja,≤100,1
107887065556871,AKshay Trivedi,These ads ran without a disclaimer,≤100,1
332212447369567,IYDA Foundation,These ads ran without a disclaimer,≤100,1
113493870062668,PEHLI AWAAZ LIVE,Paramjit Singh,≤100,1
1546575212021796,Suvendra Gandhi,Suvendra Dilipgandhi,≤100,1
115950818093861,,These ads ran without a disclaimer,≤100,1
603697863301609,Vivek Singh Bohra,Karmanya Singh,≤100,1
1456803991281092,Pratilipi Marathi,These ads ran without a disclaimer,≤100,1
544607612271308,Surjeet Chaddha,Dheeraj Paneri,≤100,1
100648472490249,Rajesh Pandey - राजेश पाण्डेय,Vatshalya Sharma,≤100,2
100599521811377,Payal Sakariya,Aapnikhabar,≤100,1
981146398754617,Chingari,Sumit Ghosh,≤100,7
356587851394511,BJD Odisha - Forever,Soyong Kanta Samantaray,≤100,1
104310224809066,Akshat Khunteta BJP,Akshat Khunteta,≤100,1
103393108051519,worldofaadiv,These ads ran without a disclaimer,≤100,1
290688528007431,Vijender Singh Inderpura,Sumit Ahuja,≤100,1
101152412727267,Dr Manish Kumar Singh,These ads ran without a disclaimer,≤100,1
112277343639549,Prakash Pote - प्रकाश पोटे -  जनसेवक,These ads ran without a disclaimer,≤100,1
1109667252543497,Rajubaba Awale,Rajubaba Awale,≤100,1
110994041490484,Dr. Surabhi - डॉo सुरभि,These ads ran without a disclaimer,≤100,1
106848148868326,anas_khan_2636,These ads ran without a disclaimer,≤100,1
