Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
114510821145145,Previred Popayán / Tarjeta Médica,Previred Tarjeta Médica,17634,3
101772341304724,HUILA Digital,HUILA Digital,17627,6
102676629272823,Germán Hernández,Germán Hernández,17311,1
116675204673861,Movimiento Ciudadano Arriba Cartagena,Movimiento Ciudadano Arriba Cartagena,17242,1
108675595132967,Karol Martínez Silva,Karol Martínez Silva,17137,2
779497978844485,Ing Benjamin Agrado Restrepo,Ing Benjamin Agrado Restrepo,16938,2
102249245462577,Secretaría de Hacienda de Manizales,Eikon Digital S.A.S.,16865,5
108872795471500,Valentina Villafañe,Valentina Villafañe,16449,2
117254984676956,Marco Orozco Alcalde,Marco Orozco,16438,2
1030397193690485,Harold Barreto,Harold Barreto,15540,1
107374008817182,La Polémica,La Polémica,15525,4
200207836752561,Opinión Caribe,Opinión Caribe,15306,1
100475532513857,Cristian Halaby,Cristian Halaby,14743,1
114663991495442,"Mario Enríquez Chenas - VAMOS PASTO, VAMOS","Mario Enríquez Chenas - VAMOS PASTO, VAMOS",14726,1
266773337381603,"Luis Alvarez ""Luigui""",These ads ran without a disclaimer,14549,4
110646350270279,Abelardo Parra Aristizabal,Abelardo Parra Aristizabal,14456,1
1864476500500459,Copywrite Colombia,These ads ran without a disclaimer,14265,4
116544396862942,Unión Legal y Tributaria S. A. S,Unión Legal y Tributaria S. A. S,14235,1
573884902749736,Edward Orozco Humanista,Edward Orozco Humanista,13948,7
323524218026963,Harvey Ferreira,These ads ran without a disclaimer,13854,1
104628303208123,Clínica Imbanaco,Clínica Imbanaco,13807,1
107306068998119,Piedecuesta al día,Piedecuesta al dia,13758,1
1519006894853848,El Quindiano,EL QUINDIANO SAS,13675,1
105573027740657,Andres Felipe Muñoz,Andres Felipe Muñoz,13599,1
645168172181457,Gobernación de Caldas,Eikon Digital SAS,13319,10
113504950417359,Jose Ignacio Rangel Andrade,Jose Ignacio Rangel Andrade,13288,1
111381708523026,Juan Pablo Amariles Londoño - Pensemos Quimbaya,Juan Pablo Amariles Londoño - Pensemos Quimbaya,13232,1
2021652431248832,Jose Luis Mora,Jose Luis Mora,13148,1
171466183598432,Oscar Conde,Oscar Conde,12895,3
100937986091374,Román Quintero Corredor,Román Quintero Corredor,12837,3
891076927704320,Juan Ruiz,Juan Ruiz,12282,3
1668929590004327,Avanzoft Software Avanzado,Avanzoft Software Avanzado,12250,1
114778278552099,Octavio Cardona León,Octavio Cardona León,12194,2
108197464437089,Caminoalvoto,Caminoalvoto,12042,1
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,11954,2
304557873488975,Hernando Marin,Hernando Marin,11800,1
110723107251997,Leo Gomez,Leo Gomez,11795,1
110433133952283,Ricardo Ortiz Restrepo,Ricardo Ortiz Restrepo,11605,3
107787104895388,La Ópttica Popayán,La Óptica Popayán,11473,2
363331681061955,Partido ASI Boyacá,Partido ASI Boyacá,11467,1
128041430908024,Alcaldía Distrital De Riohacha,Alcaldía Distrital De Riohacha,11377,1
913316352080733,Jhonny Giraldo,Jhonny Giraldo,11236,1
119955427713615,Padre Víctor Sede Paipa,Padre Víctor Sede Paipa,11191,1
626538870727500,Felipe Urrea,Felipe Urrea,11182,3
861234197280988,Stefany Gómez Armenia,Stefany Gómez Armenia,10705,1
184284351706738,Lotería de Bogotá,Lotería de Bogotá,10646,2
469642780512771,Stephen Mora Rosales,Stephen Mora Rosales,10594,4
899944773402867,Germán García Maya,Germán García Maya,10545,1
111024427285300,Fabio Leon Quintero,Fabio Leon Quintero,10521,1
1052668304757955,Eduard Sarmiento Hidalgo,Eduard Sarmiento Hidalgo,10507,4
101172564989261,Colegio Superior De Palermo,These ads ran without a disclaimer,10412,1
2409742292497578,Miguel Gomez,Miguel Gomez,10331,1
354172255431415,Alejandro García Ríos,Alejandro García Ríos,9906,1
191210184867688,Julián Serna Concejal,Julian Andres Serna Ruíz,9731,2
157146724439549,Luis Bernardo Vélez,Luis Bernardo Vélez,9703,2
110259601897557,Hector Jaramillo,Hector Jaramillo,9633,1
1558890617699891,AD Consultores,AD Consultores,9567,6
93698109021,Jhon Fredy Nuñez Ramos,Jhon Fredy Nuñez Ramos,9548,1
115211714900351,Jairo Tez,Jairo Tez,9527,2
103747879104580,Adair Lozano Osorio,Adair Lozano Osorio,9477,2
1242864402475742,BC Noticias,BC Noticias,9341,2
234071796644027,WOBI | World of Business Ideas en español,These ads ran without a disclaimer,9320,3
106106338492581,Pacto Histórico Juvenil,Pacto Histórico Juvenil,9285,1
458923757608866,Mauricio Otero Avilez,Mauricio Otero Avilez,9220,4
100417346206181,Freddy Eduardo Pinzón Valverde,Freddy Eduardo Pinzón Valverde,9184,1
744681402298932,Nataly Vélez,Nataly Vélez,9172,1
111710705216636,Nixon Bareño Martinez,Nixon Bareño Martinez,9153,2
300766243837310,Cristhiam Jimenez Arévalo,Cristhiam Jimenez Arévalo,9145,1
1448426092057311,El PIBE Sabaneta Concejal,El PIBE Sabaneta Concejal,9058,2
356101551695420,James Ducuara.,James Ducuara.,9048,2
464105710791354,Walter Lacharme Narvaez,Walter Lacharme Narvaez,9040,2
113719348370610,Sebastián Merchán Zuluaga,Sebastián Merchán Zuluaga,8879,1
987563698019371,Duván Murillo Diputado,Duván Murillo Diputado,8879,2
101046256286876,Antimilitantes,Linea Cero,8725,2
100920455304238,Karol T,Karol T,8712,1
765302097170348,Línea Cero,Linea Cero,8694,2
103428739334753,"José Alfredo ""El Cura"" Ordóñez","José Alfredo ""El Cura"" Ordóñez",8636,1
